,odds
704,-186
705,150
706,425
707,-600
708,138
709,-175
710,-118
711,-105
712,107
713,-132
714,175
715,-225
716,-220
717,170
718,525
719,-770
720,106
721,-132
722,180
723,-230
724,220
725,-278
726,360
727,-480
728,250
729,-335
730,-310
731,250
732,-714
733,560
734,124
735,-155
736,102
737,-125
738,-245
739,195
740,140
741,-177
742,1000
743,-2000
744,180
745,-230
746,-460
747,370
748,550
749,-835
750,150
751,-182
752,-305
753,240
754,-205
755,163
756,-360
757,280
758,-143
759,116
760,170
761,-220
762,112
763,-139
764,-250
765,195
766,-112
767,-112
768,650
769,-1000
770,-250
771,195
772,-180
773,143
774,-155
775,130
776,-275
777,210
778,350
779,-450
780,-210
781,170
782,-180
783,143
784,-435
785,330
786,-220
787,170
788,-180
789,143
790,-1000
791,650
792,-280
793,225
794,-110
795,-112
796,370
797,-500
798,-275
799,210
800,-195
801,155
802,295
803,-385
804,-245
805,190
806,195
807,-250
808,-106
809,-117
810,220
811,-265
812,-112
813,-112
814,125
815,-157
816,215
817,-278
818,-167
819,135
820,225
821,-286
822,175
823,-220
824,200
825,-250
826,130
827,-162
828,220
829,-278
830,-188
831,152
832,-420
833,320
834,225
835,-290
836,168
837,-220
838,138
839,-170
840,-137
841,110
842,-270
843,220
844,195
845,-250
846,150
847,-190
848,-455
849,350
850,110
851,-136
852,116
853,-143
854,155
855,-200
856,117
857,-143
858,105
859,-125
860,107
861,-132
862,-230
863,180
864,163
865,-205
866,-200
867,160
868,205
869,-265
870,-215
871,170
872,110
873,-136
874,125
875,-157
876,143
877,-180
878,-186
879,150
880,118
881,-148
882,163
883,-205
884,-117
885,-106
886,-105
887,-120
888,-590
889,425
890,-185
891,150
892,-112
893,-110
894,-355
895,270
896,220
897,-275
898,-159
899,128
900,-175
901,150
902,123
903,-155
904,145
905,-182
906,240
907,-315
908,-143
909,116
910,-103
911,-122
912,-175
913,138
914,150
915,-190
916,-143
917,116
918,-240
919,188
920,-375
921,280
922,-106
923,-117
924,138
925,-175
926,160
927,-200
928,-200
929,160
930,-129
931,104
932,-335
933,255
934,145
935,-180
936,180
937,-230
938,135
939,-175
940,575
941,-910
942,-167
943,135
944,112
945,-137
946,-124
947,100
948,-110
949,-110
950,105
951,-125
952,-125
953,105
954,130
955,-162
956,-420
957,310
958,175
959,-225
960,-240
961,188
962,-455
963,340
964,190
965,-225
966,-117
967,-107
968,380
969,-530
970,100
971,-122
972,650
973,-1000
974,-127
975,102
976,-200
977,160
978,-109
979,-114
980,-130
981,106
982,132
983,-170
984,-156
985,122
986,180
987,-230
988,-155
989,135
990,-210
991,165
992,138
993,-175
994,-129
995,104
996,118
997,-148
998,-134
999,108
1000,482
1001,-400
1002,-139
1003,112
1004,-148
1005,118
1006,180
1007,-230
1008,-398
1009,399
1010,175
1011,-225
1012,148
1013,-186
1014,195
1015,-250
1016,-180
1017,143
1018,-112
1019,-110
1020,106
1021,-132
1022,-348
1023,236
1024,-250
1025,200
1026,-127
1027,102
1028,-305
1029,230
1030,-182
1031,145
1032,114
1033,-139
1034,-275
1035,210
1036,-220
1037,170
1038,-167
1039,133
1040,260
1041,-345
1042,-200
1043,160
1044,-328
1045,-133
1046,-230
1047,180
1048,107
1049,-132
1050,-148
1051,118
1052,215
1053,-278
1054,-195
1055,155
1056,-186
1057,150
1058,-200
1059,155
1060,120
1061,-150
1062,650
1063,-1115
1064,-125
1065,102
1066,-180
1067,143
1068,155
1069,-200
1070,-299
1071,435
1072,160
1073,-200
1074,-136
1075,110
1076,-100
1077,-101
1078,175
1079,-220
1080,393
1081,-170
1082,-195
1083,155
1084,185
1085,-235
1086,143
1087,-180
1088,-200
1089,160
1090,260
1091,-335
1092,-269
1093,-330
1094,180
1095,-230
1096,-455
1097,265
1098,-175
1099,138
1100,750
1101,-1250
1102,175
1103,-220
1104,-424
1105,-248
1106,-338
1107,357
1108,276
1109,295
1110,188
1111,-240
1112,-112
1113,-110
1114,241
1115,-229
1116,-157
1117,125
1118,-307
1119,-179
1120,-560
1121,400
1122,200
1123,-265
1124,-337
1125,163
1126,285
1127,-375
1128,650
1129,-1000
1130,185
1131,-235
1132,-464
1133,103
1134,-145
1135,489
1136,-400
1137,300
1138,175
1139,-210
1140,416
1141,-464
1142,-265
1143,205
1144,467
1145,-355
1146,310
1147,-420
1148,240
1149,-315
1150,205
1151,-265
1152,-169
1153,-149
1154,125
1155,-157
1156,123
1157,-152
1158,-148
1159,118
1160,125
1161,-155
1162,-118
1163,-105
1164,-590
1165,420
1166,-180
1167,143
1168,-105
1169,-118
1170,125
1171,-157
1172,326
1173,407
1174,128
1175,-159
1176,-345
1177,265
1178,288
1179,396
1180,-210
1181,165
1182,-127
1183,104
1184,123
1185,-152
1186,-150
1187,120
1188,-167
1189,135
1190,-225
1191,175
1192,-215
1193,170
1194,-205
1195,165
1196,350
1197,-480
1198,-286
1199,220
1200,-215
1201,170
1202,205
1203,-265
1204,163
1205,-205
1206,140
1207,-177
1208,250
1209,-335
1210,-162
1211,130
1212,433
1213,108
1214,-225
1215,175
1216,-113
1217,-110
1218,-155
1219,125
1220,159
1221,-254
1222,155
1223,-200
1224,170
1225,-215
1226,-180
1227,145
1228,-118
1229,-105
1230,165
1231,-215
1232,-187
1233,-338
1234,123
1235,-152
1236,-177
1237,143
1238,-159
1239,128
1240,290
1241,-385
1242,-360
1243,275
1244,-152
1245,123
1246,220
1247,-286
1248,-449
1249,201
1250,-210
1251,165
1252,-182
1253,148
1254,-278
1255,220
1256,362
1257,-196
1258,-360
1259,270
1260,115
